,X,Y
16x9,4344.792,2380.154
20x10,5531.636,2583.791
22x10,6092.831,2588.188
27x10,7555.144,2587.181
21x10,5805.248000000001,2587.504
19x10,5223.4659999999985,2591.979
29x10,8121.614,2590.145
11x10,2890.95,2595.789
28x10,7836.181,2593.837
18x10,4936.582,2597.491
14x10,3767.444,2598.256
16x10,4336.843,2598.578
8x10,2012.307,2595.315
25x10,6973.165,2597.999
26x10,7264.232,2598.437
5x10,1142.296,2599.598
6x10,1442.323,2596.029
7x10,1721.644,2599.615
9x10,2326.358,2597.686
24x10,6704.0,2605.613
13x10,3496.469,2604.628
12x10,3208.284,2612.174
10x10,2584.315,2608.596
15x10,4080.641,2616.587
23x10,6417.262,2624.365
11x11,2896.1,2880.57
31x11,8738.268,2875.024000000001
32x11,8991.881,2878.133
9x11,2322.788,2882.072
27x11,7555.708,2876.73
28x11,7839.078,2878.272
30x11,8419.501,2878.896
29x11,8125.99,2880.226
19x11,5221.147,2882.501
25x11,6975.96,2885.0840000000007
22x11,6091.161999999998,2890.1240000000007
6x11,1435.759,2886.38
10x11,2588.047,2890.363
16x11,4355.235,2884.071
8x11,2011.396,2888.6220000000008
21x11,5793.64,2888.1620000000007
17x11,4623.247,2888.359000000001
7x11,1720.8,2891.97
13x11,3501.7090000000007,2891.827
18x11,4925.001,2889.368
26x11,7262.321,2888.974
24x11,6707.674,2891.219
14x11,3772.298,2892.898
12x11,3215.085,2902.565
15x11,4062.013,2898.071
20x11,5528.951,2905.061
23x11,6417.646,2905.65
22x12,6095.63,3162.699
6x12,1430.559,3172.021
15x12,4078.645,3158.738
9x12,2329.999,3163.978
31x12,8733.028,3165.04
11x12,2894.558,3164.7790000000005
16x12,4350.849,3166.4990000000007
20x12,5530.633000000002,3168.011
30x12,8421.707,3168.638
26x12,7268.518,3173.585
29x12,8124.312,3168.951
32x12,8999.283000000001,3171.094
8x12,2014.662,3173.606
21x12,5796.5459999999985,3173.171
25x12,6973.201,3176.552
27x12,7548.053000000001,3173.553
18x12,4918.373,3172.828
14x12,3771.05,3177.08
17x12,4631.054,3175.138
24x12,6706.8719999999985,3176.81
10x12,2591.631,3184.657
7x12,1720.954,3185.263
12x12,3206.865,3191.926
13x12,3498.5370000000007,3185.465
28x12,7836.3780000000015,3185.643
23x12,6413.315,3191.576
13x13,3507.667,3444.139
29x13,8129.166,3443.889
22x13,6085.9,3457.356
28x13,7830.708,3456.433
27x13,7555.913,3456.42
9x13,2324.023,3456.361
30x13,8423.296,3455.107
20x13,5533.709,3460.611
10x13,2593.732,3461.851
32x13,8995.588,3462.898
31x13,8735.985999999999,3459.106
16x13,4362.208,3461.161
8x13,2013.491,3466.398
21x13,5787.638000000001,3465.442
11x13,2887.794000000001,3467.783
14x13,3767.992,3463.717
19x13,5218.68,3464.768
17x13,4625.988,3468.507
18x13,4924.23,3466.4990000000007
26x13,7262.196999999999,3468.004000000001
24x13,6705.245,3469.153
25x13,6982.501,3468.616
6x13,1431.806,3472.806
12x13,3216.277,3478.147
15x13,4045.152,3475.776
23x13,6409.015,3477.018
7x13,1723.112,3475.407
16x14,4313.12,3730.873
22x14,6093.906999999998,3739.848
32x14,8995.038,3743.528
31x14,8733.796,3744.503
27x14,7552.271,3745.039
11x14,2871.277,3754.719
18x14,4923.058,3748.427
21x14,5792.883000000002,3752.635
30x14,8424.899,3751.231
9x14,2326.634,3752.258
19x14,5217.664000000002,3753.305
26x14,7263.588000000002,3753.843
17x14,4642.504,3754.157
20x14,5529.251,3753.519
28x14,7835.3319999999985,3755.328
29x14,8132.098000000001,3753.086
25x14,6976.0030000000015,3756.713
7x14,1725.4589999999996,3757.337
6x14,1428.418,3757.037
24x14,6703.19,3759.649
10x14,2590.378,3760.391
15x14,4062.132,3759.168
8x14,2014.956,3761.259
13x14,3501.951,3764.815
14x14,3770.917,3763.99
12x14,3216.237,3771.447
23x14,6416.831,3771.412
27x15,7556.139,4032.418
9x15,2322.234,4035.245
32x15,9000.711,4035.8
28x15,7839.446,4036.4040000000014
29x15,8129.361999999999,4037.037
22x15,6091.661,4043.413
31x15,8735.798,4038.469
30x15,8421.78,4039.186
19x15,5224.301,4040.292
11x15,2891.383,4048.893
8x15,2010.56,4047.653
18x15,4926.176,4045.971
20x15,5531.408,4045.287
25x15,6981.7559999999985,4048.197
13x15,3503.091,4051.622
26x15,7262.175,4051.948
10x15,2596.16,4056.653
21x15,5792.693,4054.692
6x15,1434.66,4055.908
14x15,3773.408,4053.247
17x15,4632.307,4053.391
7x15,1719.846,4052.869
24x15,6708.641,4054.937
12x15,3216.9120000000007,4063.095
15x15,4056.597,4058.697
23x15,6411.545,4065.669
16x15,4346.384,4083.044
30x16,8430.8,4315.571
22x16,6099.3719999999985,4334.048
31x16,8732.919,4328.507000000001
11x16,2884.0640000000008,4335.724
29x16,8133.559,4331.276
18x16,4916.367,4334.856
27x16,7551.235,4332.391
14x16,3784.374,4337.0059999999985
19x16,5222.7440000000015,4336.741
9x16,2338.72,4334.785
17x16,4639.866,4337.363
32x16,9000.146,4334.957
28x16,7837.616,4337.955
16x16,4350.524,4337.346
20x16,5530.554,4336.821
26x16,7271.455,4338.964
10x16,2590.409,4341.761
6x16,1428.797,4342.993
21x16,5798.598000000001,4343.935
5x16,1157.285,4344.205
25x16,6992.809,4343.5329999999985
15x16,4060.756,4341.476
7x16,1726.277,4345.21
13x16,3502.676,4349.036
8x16,2007.932,4348.587
23x16,6411.4090000000015,4357.668
12x16,3181.66,4360.56
11x17,2897.626,4623.778
32x17,8994.996,4620.987
31x17,8730.604,4616.39
30x17,8431.729,4619.563
22x17,6094.476,4626.3409999999985
27x17,7559.77,4621.032
9x17,2330.158,4623.044
20x17,5528.806,4623.304
29x17,8130.943,4625.929
19x17,5225.636,4627.672000000001
26x17,7268.297,4625.927
16x17,4350.882000000001,4629.351
18x17,4935.302,4630.193
25x17,6977.044,4630.53
28x17,7834.828,4628.828
8x17,2016.613,4634.462
6x17,1432.973,4632.13
10x17,2592.715,4633.163
14x17,3784.59,4633.025
15x17,4063.331,4634.727
17x17,4632.115,4635.06
24x17,6708.843000000002,4636.187
13x17,3487.55,4636.673
21x17,5790.17,4638.763
23x17,6413.485,4644.922000000001
7x17,1724.55,4641.497
12x17,3212.611,4650.278
31x18,8734.322,4911.285
29x18,8128.925,4918.224
32x18,8993.685,4923.165
19x18,5211.584,4919.755
22x18,6095.861,4919.251
11x18,2888.579,4921.541
27x18,7553.804,4917.94
30x18,8421.046999999999,4919.663
20x18,5533.167,4920.042
25x18,6968.057,4922.238
21x18,5785.09,4924.371
15x18,4037.217,4922.634
17x18,4624.651,4923.004
18x18,4923.97,4923.677
26x18,7265.989,4922.944
28x18,7833.177,4927.135
8x18,2013.463,4930.928
9x18,2324.457000000001,4926.352
24x18,6705.7040000000015,4929.021
16x18,4352.805,4926.528
10x18,2592.476,4934.452
6x18,1427.59,4935.045
13x18,3494.472,4932.609
7x18,1725.116,4932.907
14x18,3775.569,4932.128
12x18,3218.306,4937.677
23x18,6413.116999999998,4944.578
22x19,6097.3719999999985,5203.733
31x19,8735.523000000001,5200.460999999998
30x19,8421.495,5201.571
11x19,2888.347,5209.197
16x19,4351.87,5201.267
29x19,8126.951,5205.354
19x19,5214.492,5205.319
18x19,4940.456,5206.665
24x19,6689.762,5209.472
27x19,7559.485,5208.21
15x19,4063.607,5212.018
20x19,5530.095,5211.312
21x19,5795.49,5212.358
28x19,7828.316,5213.009
9x19,2329.627,5214.378
6x19,1435.1760000000004,5212.605
8x19,2015.034,5214.554
5x19,1164.045,5216.47
14x19,3773.789,5214.411
26x19,7265.6309999999985,5218.499
7x19,1724.955,5218.736
13x19,3497.5170000000007,5220.946
23x19,6411.513000000001,5228.302
10x19,2587.258,5223.988
17x19,4630.087,5221.618
25x19,6974.0790000000015,5222.654
12x19,3211.178,5227.893
29x20,8129.758000000002,5493.153
31x20,8735.744,5494.522
19x20,5225.181,5498.468000000002
30x20,8429.081,5496.094
20x20,5526.998000000001,5499.248000000001
28x20,7830.5819999999985,5496.395
22x20,6097.951,5503.606
27x20,7556.595,5496.224
16x20,4345.261,5504.879
18x20,4923.155,5504.653
8x20,2011.804,5505.91
21x20,5789.755,5509.667
11x20,2868.882,5510.486
17x20,4632.54,5512.38
26x20,7274.088000000002,5510.174
6x20,1423.95,5511.7069999999985
7x20,1726.0839999999996,5513.281
13x20,3495.563,5516.435
23x20,6425.147,5519.4180000000015
10x20,2588.711,5514.813
12x20,3214.03,5519.741999999998
24x20,6707.281999999998,5517.196999999999
25x20,6976.769,5513.646
5x20,1150.78,5518.361999999999
14x20,3774.975,5515.566999999999
15x20,4069.273,5516.583000000001
9x20,2331.028,5517.02
19x21,5218.79,5766.29
18x21,4918.861,5775.382
20x21,5540.914000000002,5782.67
22x21,6086.951,5789.917
24x21,6703.085,5794.828
15x21,4061.472,5787.9180000000015
16x21,4356.458,5790.061
21x21,5788.097,5791.272
26x21,7293.217,5787.065
27x21,7551.47,5786.627
30x21,8427.598,5791.17
11x21,2891.555,5797.99
14x21,3775.856,5792.536999999998
8x21,2013.981,5794.66
9x21,2326.523,5794.916
25x21,6975.985,5794.538000000001
29x21,8138.554,5794.463000000002
13x21,3495.524000000001,5801.14
17x21,4626.482,5796.745
5x21,1143.524,5800.353
28x21,7835.213000000002,5797.5
6x21,1432.003,5801.169
10x21,2589.655,5806.016
23x21,6418.26,5810.788000000001
7x21,1726.119,5805.5430000000015
12x21,3211.49,5817.778
11x22,2893.282,6079.791
17x22,4628.524,6074.8780000000015
22x22,6099.05,6081.335
29x22,8135.569,6074.431
10x22,2586.809,6084.212
9x22,2324.029,6083.754
18x22,4931.405,6081.941999999999
16x22,4333.197,6090.1280000000015
20x22,5551.068,6083.108
27x22,7554.959,6080.677
5x22,1150.774,6088.710999999998
28x22,7835.0,6083.35
21x22,5795.528,6088.1709999999985
15x22,4061.297,6090.83
8x22,2020.444,6091.036
12x22,3203.269,6100.498000000001
13x22,3499.9440000000004,6095.012
26x22,7273.357,6091.081
25x22,6981.326999999998,6092.996
6x22,1422.94,6097.857
24x22,6706.4,6094.264
23x22,6416.087,6100.892
14x22,3775.581,6100.71
19x22,5186.291,6104.654
7x22,1734.743,6102.576999999998
22x23,6089.785,6368.66
20x23,5519.191,6366.335999999998
27x23,7553.3780000000015,6368.375
16x23,4350.4090000000015,6371.276999999999
28x23,7833.71,6370.012
18x23,4923.4670000000015,6374.675
17x23,4624.781,6373.792
19x23,5219.049,6375.042
11x23,2894.677,6382.917
14x23,3773.221,6378.148
9x23,2327.676,6377.885
25x23,6976.463000000002,6380.453
26x23,7270.345,6376.8809999999985
21x23,5791.645,6380.047
5x23,1153.1660000000004,6381.153
8x23,2015.915,6382.571
7x23,1724.1629999999998,6383.3319999999985
15x23,4068.229,6381.1190000000015
24x23,6709.101,6379.710999999998
6x23,1430.6470000000004,6380.772
13x23,3500.393,6383.495
10x23,2593.487,6389.941999999999
23x23,6415.598000000001,6391.459
12x23,3208.703,6397.482
22x24,6097.326999999998,6663.345
19x24,5237.599,6658.501
11x24,2891.809,6666.033
16x24,4353.99,6665.701999999998
9x24,2326.716,6667.196
20x24,5524.084,6664.666
27x24,7558.385,6669.126
5x24,1148.739,6675.559
10x24,2597.423,6675.259
21x24,5795.2959999999985,6671.98
14x24,3782.66,6675.589
13x24,3495.007,6680.531
17x24,4629.653,6672.3719999999985
15x24,4061.235,6674.275
8x24,2015.02,6678.774
18x24,4928.741,6675.4569999999985
25x24,6981.222,6677.460999999998
24x24,6705.361999999999,6678.984
7x24,1727.152,6678.446999999999
6x24,1435.312,6683.7559999999985
23x24,6418.166,6686.321
26x24,7258.971,6684.323
12x24,3218.326,6688.561
20x25,5522.302,6946.988
22x25,6099.321,6958.386
11x25,2880.41,6958.9569999999985
19x25,5215.309,6956.451
16x25,4357.748,6960.5459999999985
24x25,6710.259,6964.403
21x25,5801.217,6964.166
6x25,1428.372,6964.799
10x25,2589.903,6969.191999999999
18x25,4912.673,6962.005
14x25,3774.553,6965.302
17x25,4627.724,6961.01
